ds_rep1	hs_rep1	log_rep1	plat_rep1
c754_g1	1.16445538619639	1.59330778887021	-5.51958280209078	2.76181962702417
c751_g1	2.72081788350099	1.10329967315275	-10.1285227052506	6.30440514859682
c756_g1	1.39238502977436	1.14471767940674	-5.00076596076571	2.46366325158461
c359_g1	1.7829977064204	0.191933544480076	-2.86483599425144	0.889904743350957
c650_g4	3.10634437549756	4.58012840576659	-9.68578663383945	1.9993138525753
c368_g3	0.550197686210874	-1.49778773634949	-1.35638810331641	2.30397815345502
c166_g1	5.79658106644194	-7.26859538456712	-7.26859538456712	8.7406097026923
c386_g1	4.69049215213795	3.6515101172573	1.55631559036961	-9.89831785976487
c259_g1	2.64568663429083	-0.358933079278966	-3.30882968996206	1.0220761349502
c649_g4	0.184437009100572	2.96001540931991	-2.62536407487038	-0.519088343550107
c202_g1	0.439661216776118	-0.633823811085607	-2.37272810764076	2.56689070195025
c691_g1	1.49717655344661	-0.856479127482192	-3.11496213262207	2.47426470665765
c613_g1	-0.209200201158547	1.22080945469305	-2.67089239004658	1.65928313651208
c657_g1	4.49961135754036	2.87196053460218	-9.81310599588461	2.44153410374208
c593_g1	6.83145836321753	-7.07151087379893	-7.07151087379893	7.31156338438032
c546_g1	2.44583408955014	0.448005745982034	-3.66132963504571	0.767489799513532
c265_g2	2.06405119121212	4.50405111433991	3.15572458230012	-9.72382688785214
c650_g2	0.670341155960212	2.50469068891071	1.02590751078734	-4.20093935565826
c650_g5	3.63858195579042	4.46405196628422	-9.74585780487154	1.64322388279689
c711_g1	4.25241890513687	2.18579521184034	-10.2303744960239	3.79216037904673
c118_g1	3.68134561217797	4.48482207111308	-10.4182631452691	2.25209546197803
c548_g1	-0.187065369604362	0.940172641933106	-2.04101943725013	1.28791216492139
