ds_rep1	hs_rep1	log_rep1	plat_rep1
c754_g1	15.7336117828608	16.1624641855346	9.04957359457359	17.3309760236885
c751_g1	12.8493405887515	11.2318223784033	0	16.4329278538474
c756_g1	16.1500508504	15.9023835000324	9.7568998598599	17.2213290722102
c359_g1	14.6644233394339	13.0733591774936	10.016589638762	13.7713303763644
c650_g4	12.792131009337	14.265915039606	0	11.6851004864148
c368_g3	12.1363311139377	10.0883456913773	10.2297453244104	13.8901115811818
c166_g1	13.0651764510091	0	0	16.0092050872594
c386_g1	14.5888100119028	13.5498279770222	11.4546334501345	0
c259_g1	15.325955392901	12.3213356793312	9.37143906864815	13.7023448935604
c649_g4	11.0314462018606	13.8070246020799	8.22164511788964	10.3279208492099
c202_g1	12.8390856586668	11.7656006308051	10.02669633425	14.966315143841
c691_g1	15.0979921400922	12.7443364591634	10.4858534540235	16.0750802933033
c613_g1	13.5155617458538	14.9455714017054	11.0538695569658	15.3840450835244
c657_g1	14.312717353425	12.6850665304868	0	12.2546400996267
c593_g1	13.9029692370165	0	0	14.3830742581793
c546_g1	14.5467162215535	12.5488878779854	8.43955249695762	12.8683719315169
c265_g2	11.7878780790643	14.2278780021921	12.8795514701523	0
c650_g2	13.326788571249	15.1611381041995	13.6823549260761	8.45550805963054
c650_g5	13.384439760662	14.2099097711558	0	11.3890816876684
c711_g1	14.4827934011608	12.4161697078643	0	14.0225348750707
c118_g1	14.0996087574471	14.9030852163822	0	12.6703586072471
c548_g1	12.6559646738603	13.7832026853977	10.8020106062145	14.130942208386
