ds_rep1	hs_rep1	log_rep1	plat_rep1
c166_g1_i1	13.0581360188812	0	0	16.01981174572
c118_g1_i1	14.0925678738675	14.902091531841	0	12.6809638167065
c259_g1_i1	15.3189143095036	12.3203422314766	9.36887090877208	13.7129509125235
c650_g2_i1	13.3197480354141	15.1601444566664	13.6797833414846	8.46608462083612
c650_g5_i1	13.3773991260311	14.2089161389202	0	11.3996843429803
c202_g1_i1	12.8320454265558	11.764607072397	10.0241271053004	14.976921620476
c386_g1_i1	14.5817690254911	13.5488344284548	11.4520625658484	0
c756_g1_i1	16.1430096960948	15.9013898504497	9.75433135626896	17.2319358061224
c650_g4_i1	12.785090727312	14.2649214397926	0	11.6957041805421
c754_g1_i1	15.7265706461254	16.1614705064519	9.0470066372403	17.3415827649773
c548_g1_i1	12.6489244363007	13.7822090960591	10.7994402930587	14.1415483835874
c546_g1_i1	14.5396752480874	12.5478944043361	8.4369863150246	12.8789774049176
c751_g1_i1	12.8423002489663	11.2308292473361	0	16.4435345383595
c368_g3_i1	12.1292913897044	10.087352778515	10.2271754872069	13.9007176828013
c613_g1_i1	13.5085211306541	14.9445777399556	11.0512986816417	15.3946516273242
c657_g1_i1	14.3056763922542	12.6840729110507	0	12.26524465643
c359_g1_i1	14.6573823198055	13.0723656077381	10.0140204703149	13.7819363688866
c721_g1_i2	12.8514144816178	12.614699263086	7.73888940710271	15.6745276844437
c649_g4_i1	11.0244083376708	13.806030972135	8.21908137517675	10.3385191264226
c593_g1_i1	13.8959284343767	0	0	14.3936805762331
c711_g1_i1	14.4757524270015	12.4151760913763	0	14.0331410255307
c691_g1_i1	15.0909511145815	12.7433430813748	10.4832837357495	16.0856869511745
c265_g2_i1	11.7808386917843	14.2268844084548	12.8769799927036	0
