ds_rep1	hs_rep1	log_rep1	plat_rep1
c166_g1_i1	5.78864907773091	-7.26948694115029	-7.26948694115029	8.75032480456967
c118_g1_i1	3.67366206826376	4.48318572623726	-10.4189058056037	2.26205801110273
c259_g1_i1	2.63864471893464	-0.359927359092314	-3.31139868179685	1.03268132195452
c650_g2_i1	0.663307921813747	2.50370434306612	1.02334322788431	-4.19035549276419
c650_g5_i1	3.63089922404818	4.46241623693728	-9.7464999019829	1.65318444099743
c202_g1_i1	0.432620120373485	-0.634818233785277	-2.37529820088189	2.57749631429368
c386_g1_i1	4.68610252054249	3.65316792350626	1.55639606089984	-9.89566650494859
c756_g1_i1	1.38534301886081	1.14372317321571	-5.00333532096498	2.47426912888846
c650_g4_i1	3.09866164040034	4.57849235288093	-9.68642908691169	2.00927509363042
c754_g1_i1	1.15741300742668	1.59231286775319	-5.52215100145844	2.77242512627857
c548_g1_i1	-0.194106115950772	0.939178543807628	-2.04359025919278	1.29851783133592
c546_g1_i1	2.43879190499599	0.447011061244652	-3.66389702806683	0.778094061826184
c751_g1_i1	2.71313424030082	1.10166323867061	-10.1291660086655	6.31436852969404
c368_g3_i1	0.543157055147493	-1.4987815560419	-1.35895884734997	2.31458334824438
c613_g1_i1	-0.216241164239845	1.21981544506174	-2.67346361325219	1.66988933243031
c657_g1_i1	4.49192790232051	2.87032442111695	-9.81374848993372	2.45149616649626
c359_g1_i1	1.7759561281192	0.190939416051805	-2.86740572137136	0.900510177200356
c721_g1_i2	0.631531772555229	0.394816554023448	-4.48099330195983	3.45464497538115
c649_g4_i1	0.177398384819535	2.95902101928374	-2.62792857767455	-0.508490826428723
c593_g1_i1	6.82352618172426	-7.07240225265244	-7.07240225265244	7.32127832358062
c711_g1_i1	4.24473504102436	2.18415870539917	-10.2310173859771	3.80212363955357
c691_g1_i1	1.49013489386146	-0.85747313934524	-3.11753248497062	2.4848707304544
c265_g2_i1	2.05966291854861	4.50570863521913	3.15580421946791	-9.72117577323565
